datetime,site_id,depth,observation,variable
2026-08-04 12:00:00,ORMS,0.0,0.7358515652651662,eta
2026-08-04 12:00:00,ORMS,0.0,1.4130765548474145,m_ratio
2026-08-04 12:00:00,ORMS,0.0,0.006581842087556183,n2_max
2026-08-04 12:00:00,ORMS,0.0,0.006013599095260972,n2_therm
2026-08-04 12:00:00,ORMS,0.0,0.00016815393219693497,z_fluc
2026-08-04 12:00:00,ORMS,0.0,3.4847366075191823,z_n2
2026-08-04 12:00:00,ORMS,0.0,3.6,z_therm
2026-08-04 12:00:00,ORMS,0.5,20.12234494411045,temperature
2026-08-04 12:00:00,ORMS,1.0,20.118627512778648,temperature
2026-08-04 12:00:00,ORMS,2.0,20.118627512778648,temperature
2026-08-04 12:00:00,ORMS,3.0,20.14420365977635,temperature
2026-08-04 12:00:00,ORMS,4.0,16.866693570746435,temperature
2026-08-05 12:00:00,ORMS,0.0,0.17189198980075393,M1
2026-08-05 12:00:00,ORMS,0.0,0.24263828567871235,M2
2026-08-05 12:00:00,ORMS,0.0,5.869918456356771,Ws
2026-08-05 12:00:00,ORMS,0.0,3.389232567139165e-06,b_var
2026-08-05 12:00:00,ORMS,0.0,0.7364642205647505,eta
2026-08-05 12:00:00,ORMS,0.0,1.4115741283812173,m_ratio
2026-08-05 12:00:00,ORMS,0.0,0.006711077193316458,n2_max
2026-08-05 12:00:00,ORMS,0.0,0.0063651568753544776,n2_therm
2026-08-05 12:00:00,ORMS,0.0,0.00017176789152251182,z_fluc
2026-08-05 12:00:00,ORMS,0.0,3.4846748636764557,z_n2
2026-08-05 12:00:00,ORMS,0.0,3.4000000000000004,z_therm
2026-08-05 12:00:00,ORMS,0.5,20.269759711653986,temperature
2026-08-05 12:00:00,ORMS,1.0,20.268089707649178,temperature
2026-08-05 12:00:00,ORMS,2.0,20.268089707649178,temperature
2026-08-05 12:00:00,ORMS,3.0,20.29059471365639,temperature
2026-08-05 12:00:00,ORMS,4.0,16.9731597917501,temperature
2026-08-06 12:00:00,ORMS,0.0,0.1621428200326045,M1
2026-08-06 12:00:00,ORMS,0.0,0.23417487996239722,M2
2026-08-06 12:00:00,ORMS,0.0,5.537838844726268,Ws
2026-08-06 12:00:00,ORMS,0.0,3.1278398063264233e-06,b_var
2026-08-06 12:00:00,ORMS,0.0,0.7231778994143573,eta
2026-08-06 12:00:00,ORMS,0.0,1.4442506915527198,m_ratio
2026-08-06 12:00:00,ORMS,0.0,0.006575049093312602,n2_max
2026-08-06 12:00:00,ORMS,0.0,0.006038240801484593,n2_therm
2026-08-06 12:00:00,ORMS,0.0,0.0001620590188917692,z_fluc
